"矫痢","青沥备开(矫焙备)喊","己喊",拌,0技,1技,2技,3技,4技,5技,6技,7技,8技,9技,10技,11技,12技,13技,14技,15技,16技,17技,18技,19技,20技,21技,22技,23技,24技,25技,26技,27技,28技,29技,30技,31技,32技,33技,34技,35技,36技,37技,38技,39技,40技,41技,42技,43技,44技,45技,46技,47技,48技,49技,50技,51技,52技,53技,54技,55技,56技,57技,58技,59技,60技,61技,62技,63技,64技,65技,66技,67技,68技,69技,70技,71技,72技,73技,74技,75技,76技,77技,78技,79技,80技,81技,82技,83技,84技,85技,86技,87技,88技,89技,90技,91技,92技,93技,94技,95技,96技,97技,98技,99技,100技 捞惑
"2004","辆肺备","拌",175945.5,1187.5,1229.5,1321,1498.5,1587.5,1652.5,1789,1856,1958,2012.5,2086.5,2260.5,2457,2355,2316.5,2400,2120.5,2090.5,2131,2229.5,2414.5,2720,3001,3212.5,3319,3175,3161,3230,3147,3217,3338,3431,3510.5,3481.5,3280.5,3160,3079,2842.5,2783.5,2987.5,2914.5,3017,3198,3343,3255,3020.5,2929,2786.5,2771.5,2683,2304,2291,2027.5,1752,1952,1986.5,2057,1920.5,1667.5,1666,1724.5,1990,2008,1745.5,1655.5,1564,1423,1344.5,1295,1146.5,1015,892,810.5,731.5,693.5,680,603.5,517,463.5,410.5,399.5,387,335,298,243.5,192.5,153,140.5,110.5,96,80.5,63,43,30,22.5,16.5,15.5,9.5,6.5,6,11.5
"2004","吝备","拌",133259.5,1160,1170,1173.5,1295.5,1354,1300.5,1364.5,1388.5,1396,1469,1488.5,1489.5,1458,1343,1294,1355.5,1359.5,1322,1403.5,1573.5,1764,2059.5,2272,2480.5,2605,2439,2436,2551,2594.5,2653,2783,2867.5,2942.5,2976.5,2815,2640,2503.5,2292.5,2147.5,2150.5,2119.5,2077,2224,2332.5,2236.5,2136.5,2193.5,2150,2095.5,2000,1739.5,1730,1585,1400.5,1531.5,1586.5,1635,1517,1338.5,1306.5,1333.5,1559,1597,1322,1228.5,1172,1061.5,1018.5,967,845,751.5,673,584.5,528,549.5,542.5,479,405,338,319,307.5,311,265.5,197,157,123.5,118,96.5,68.5,56.5,46,40,37,26,19,15.5,12,6.5,4.5,5,6.5
"2004","侩魂备","拌",230989,1990.5,2025.5,2183.5,2440.5,2470,2391,2444,2472,2483.5,2583.5,2562,2539,2602.5,2498,2367.5,2510.5,2295.5,2297.5,2434.5,2592,2924.5,3419,3895.5,4274,4426.5,4200,4176,4433,4493.5,4751.5,4918.5,5098.5,5266.5,5213,4973.5,4693.5,4306.5,3906.5,3757,3845,3769.5,3766.5,3918.5,4028.5,3943,3732.5,3670,3549.5,3489,3332.5,2922.5,2853.5,2529.5,2297.5,2535.5,2618,2699.5,2517.5,2196,2212,2265.5,2602,2652.5,2248.5,2118.5,2106,1980,1835,1727,1556,1349.5,1207.5,1108.5,994.5,957.5,878.5,793,687,592,521,499,467.5,389.5,321.5,262.5,219.5,195,151,124.5,112.5,85,63.5,51.5,38,30,19.5,14,8,8.5,5,7.5
"2004","己悼备","拌",339240.5,3462,3552.5,3673.5,4020,4096,4021,4038,4095.5,4095.5,4106.5,4135,4137.5,4063.5,3792.5,3474.5,3336.5,3557.5,3545,3807,4105,4600.5,5375,5953,6397,6768.5,6503.5,6434,6843,6914,7275,7660.5,7779,7929.5,7990,7592.5,7252.5,6677,6070,5875.5,5863.5,5557,5608.5,5848,5911.5,5818.5,5417,5215,5082,4995.5,4768,4173,4161.5,3696.5,3332,3623,3581,3650.5,3493.5,2987,2835,2927.5,3390,3360.5,2798,2616.5,2467,2243.5,2125,1990,1785.5,1569,1347,1178.5,1046,990.5,899,810,683,581,551.5,528,500.5,415.5,332,267.5,227,228,185.5,135,100.5,79.5,65,49,39.5,31,23,14.5,11,8.5,6,13
"2004","堡柳备","拌",382733,3672,3637,3670.5,4198.5,4445.5,4381,4569.5,4709.5,4912,4999.5,5005,5105,5150.5,4943.5,4697.5,4782,4685.5,4616,4752,5005.5,5486.5,6278,7032.5,7626,8216.5,8001.5,8075,8515,8572,8619,8718,8533,8615.5,8383.5,7903,7611.5,7219,6627,6561.5,6680,6323,6452.5,6896.5,7156.5,7047.5,6571.5,6289.5,5934,5856.5,5549.5,4774,4708.5,4203.5,3574,3708,3786,3915,3555,3017.5,2853,2863.5,3107.5,3085,2598,2396.5,2289.5,2055,1805,1656,1504.5,1298,1154.5,1051.5,947.5,897.5,805.5,756,663,594.5,550.5,534.5,508,415.5,323,268,235.5,206,164,135.5,121,100.5,68,59,42,20.5,18,14,11.5,9,4.5,13
"2004","悼措巩备","拌",381139.5,3155,3342.5,3464,3879,3992.5,4000.5,4192.5,4288.5,4369,4491.5,4555.5,4610,4553.5,4219.5,4016,4027,4139,4247,4541,4974.5,5534,6553,7399,7909.5,8195,7718.5,7575.5,7705.5,7548.5,7639,7815,7821.5,7932,7768,7382,7114,6761,6276,6132.5,6131.5,5881.5,5996,6350.5,6633,6628,6264.5,6089.5,5933,5921.5,5799.5,5126,5067,4600.5,4096.5,4293,4457,4610,4222,3698.5,3649,3708,4193,4179,3501,3278,3082,2783.5,2592.5,2424,2145,1882,1673,1460,1271.5,1221.5,1156,1041,871,751,648.5,631.5,594,494.5,425,375.5,300.5,264,208,158.5,129,102.5,94,63.5,49,29.5,20.5,16,9.5,5,2,20.5
"2004","吝尔备","拌",434973.5,3730,3940.5,4146,4634.5,4842,4922.5,5288.5,5525.5,5674.5,5923,6004.5,6091,6063,5702,5401,5343.5,5456,5506.5,5771,6033,6574,7475,8072.5,8347.5,8530,7974.5,7687,7835.5,7766,8097,8438,8557,8769.5,8784,8503.5,8414.5,8153.5,7643,7635.5,7728,7425.5,7688,8265,8426,8256.5,7721.5,7420.5,7222.5,7098.5,6768,5822,5709,5117,4436.5,4678,4734.5,4773.5,4383,3698.5,3570,3660.5,4035,3964,3306.5,3050.5,2928,2498,2250,2185.5,1942,1640,1451,1302.5,1238,1138.5,1073.5,990.5,816,693.5,628.5,621,594.5,510.5,425,367.5,299,250.5,209,154.5,138,111,88.5,63,50.5,35,22.5,12.5,9.5,4.5,4.5,12.5
"2004","己合备","拌",452089.5,4110,4232,4353,4853,4987.5,4951.5,5043.5,5105,5197,5340,5409,5441.5,5336,5063.5,4804.5,4721,4877,5091,5428.5,5828.5,6460,7521.5,8247.5,8769.5,9006.5,8477.5,8330.5,8742,8698.5,9135.5,9527,9609,9708.5,9727,9218.5,8802.5,8155,7462.5,7228.5,7329.5,7022,7188.5,7713,7961.5,7845,7383,7239.5,6997,6918,6698,5930.5,5892,5390.5,4766,5043.5,5133,5393,5109.5,4397.5,4256,4432.5,4952.5,5003,4206,3909.5,3683.5,3341,3100.5,2945,2636,2178,1975.5,1727.5,1557,1477.5,1338,1235,1073,903,790,783.5,774,652.5,504.5,438.5,359,319,260.5,204,174,144,113,87.5,62.5,51.5,29,18,13,11,5.5,14
"2004","碍合备","拌",360594,3032,3298,3452,3787,3887.5,3931.5,4101.5,4175.5,4251,4439.5,4446.5,4464.5,4481.5,4082.5,3829.5,3859.5,3885.5,4006.5,4297,4589.5,5103.5,5872.5,6496.5,6855,7074,6694.5,6613.5,6904.5,6864.5,7186,7521.5,7576,7714,7486,7024,6898,6419,5878,5834,5800,5649.5,5746,5963,6246,6292.5,5867.5,5659.5,5545,5589.5,5412,4725.5,4764.5,4378.5,3927,4293,4447,4617.5,4327,3697.5,3669,3794.5,4277.5,4283.5,3494,3191,2982.5,2673.5,2440,2211.5,2002.5,1674,1454,1281.5,1125.5,1101.5,1011.5,876,723,618,585,587.5,574,500,415,346.5,281.5,238.5,221.5,171,123,96,81,73.5,52.5,33.5,25,16.5,9.5,5,4,8.5
"2004","档豪备","拌",379269,3450,3548.5,3780,4349,4600.5,4495,4851.5,5018.5,5128.5,5231,5328.5,5543,5621,5391,5173.5,5225,5287,5253,5414.5,5576.5,5909.5,6279.5,6495,6582,6482.5,5894.5,5555.5,5795,5950,6325,6750.5,7027,7359.5,7571.5,7322.5,7263.5,6939.5,6513.5,6470.5,6621,6579,6781,7255,7730,7629,7228.5,7100,6820,6596,6191.5,5179.5,4998,4416,3708,3873,3901,4031.5,3612.5,3059.5,2978,3019.5,3284,3301,2877.5,2681.5,2543,2238.5,2079,1990.5,1802.5,1595,1470,1296.5,1145,1097,1057,936.5,771,667,631.5,609.5,565,450.5,389.5,333,278.5,239.5,210.5,157.5,123.5,103,83.5,67,38.5,32,25,14,8.5,6.5,2,8.5
