"矫痢","青沥备开(矫焙备)喊","己喊",拌,0技,1技,2技,3技,4技,5技,6技,7技,8技,9技,10技,11技,12技,13技,14技,15技,16技,17技,18技,19技,20技,21技,22技,23技,24技,25技,26技,27技,28技,29技,30技,31技,32技,33技,34技,35技,36技,37技,38技,39技,40技,41技,42技,43技,44技,45技,46技,47技,48技,49技,50技,51技,52技,53技,54技,55技,56技,57技,58技,59技,60技,61技,62技,63技,64技,65技,66技,67技,68技,69技,70技,71技,72技,73技,74技,75技,76技,77技,78技,79技,80技,81技,82技,83技,84技,85技,86技,87技,88技,89技,90技,91技,92技,93技,94技,95技,96技,97技,98技,99技,100技 捞惑
"2002","辆肺备","拌",182728,1366,1611,1702,1706,1782,1859,1996.5,2032.5,2051.5,2173,2248,2266,2321,2169.5,2290,2497.5,2279,2281,2395,2721,2953.5,3108.5,3186.5,3095,3202.5,3412,3434.5,3614,3830.5,3919,3946.5,3847,3633.5,3438,3230.5,2965.5,2828.5,3023,3015.5,3079.5,3241,3430.5,3382.5,3150,3082.5,2960.5,2938,2792.5,2450.5,2426,2157.5,1827,2064.5,2116,2180,2084.5,1813.5,1770.5,1853,2150.5,2177,1896.5,1802,1682.5,1565,1506,1412.5,1275,1111.5,995,899,796.5,788.5,749.5,696.5,604.5,529,489,482.5,450.5,398,347.5,305.5,249.5,202,190.5,141,127.5,114,86,73,44,42.5,30.5,26.5,18,12,9,8,5.5,7
"2002","吝备","拌",140575,1306.5,1460.5,1492,1453.5,1524,1554,1498.5,1576,1609,1627.5,1572,1444.5,1341.5,1378.5,1380,1404.5,1460.5,1532.5,1675.5,2015.5,2286.5,2450,2544,2471.5,2470,2673.5,2769,2946,3144.5,3237.5,3298.5,3269.5,3136.5,2951.5,2745,2526,2366.5,2364.5,2286.5,2283,2386,2484,2382,2261.5,2272,2245,2181.5,2078.5,1832,1831,1657,1490.5,1627.5,1696,1751,1597,1428.5,1402,1436,1691,1728.5,1457.5,1351.5,1278.5,1162,1099,1065,939.5,837,759,656,597.5,604.5,602,541,471,389.5,355.5,366,351,319.5,241,202,166,154,124.5,90.5,79,68,62,51,41.5,30.5,24.5,17.5,11.5,7,6.5,3.5,2,5
"2002","侩魂备","拌",237843,2275.5,2677.5,2694.5,2587.5,2622.5,2618.5,2609.5,2705,2645.5,2693.5,2696,2588,2381.5,2403,2400.5,2518,2485.5,2600,2795.5,3275,3736,4040,4243.5,4113,4072,4384.5,4615,4984.5,5350,5485,5708,5605,5307,5060,4654.5,4207,4027,4078,3951.5,3940.5,4103,4226.5,4164.5,3952,3824.5,3647,3625.5,3450,3024.5,2999,2666,2400,2642,2744,2811.5,2620,2305.5,2311.5,2407,2745,2811.5,2381.5,2264,2271,2118,1992,1875,1670.5,1473,1328.5,1214,1086,1039,980,877,757,680,602,585.5,557.5,466,386,340.5,296.5,248.5,213,168,142,110.5,92,80.5,65.5,53,37,25.5,14,15,8,3.5,4,7.5
"2002","己悼备","拌",341074,3778.5,4257.5,4427,4280.5,4303.5,4380.5,4328.5,4339.5,4370.5,4402.5,4348.5,4017,3636.5,3588.5,3532,3333,3754,3902,4220.5,5046,5505.5,5935,6177.5,6021.5,6167,6621.5,6955,7533,7960,8139.5,8345,8374.5,7995,7612,7061.5,6361,6245.5,6146.5,5885,5956.5,6161,6159.5,6055,5594,5294,5071,4982,4746,4201,4173.5,3726.5,3350,3622.5,3619,3723,3574.5,3077,2966.5,3018,3530,3530.5,2960,2778.5,2621.5,2386,2242.5,2127,1938,1655.5,1423.5,1284,1144,1081.5,994.5,902,756.5,655.5,628,602.5,574.5,488,393,335,292,275.5,237,178,154.5,128,104,78,63,48.5,38,27,18.5,10.5,8,6.5,3,13.5
"2002","堡柳备","拌",387310,4029,4596.5,4762,4645.5,4800.5,4919,5098,5133.5,5050,5119.5,5136.5,4942,4711.5,4687,4810.5,4903.5,4849.5,4952.5,5296.5,6026,6596.5,6929.5,7311,7301.5,7489,8143.5,8544.5,9090.5,9472.5,9509.5,9511,9324.5,8654,8228,7674.5,6952.5,6821,6851,6488.5,6664,7097.5,7353,7281,6783,6483.5,6219,6088,5755.5,4904,4917.5,4377,3682.5,3887.5,3955.5,4049,3713.5,3119.5,3017,3005.5,3297.5,3295.5,2776,2525.5,2439,2171.5,1914,1791,1615.5,1386.5,1256.5,1149,1022,999,910.5,812,741.5,670,632,613,593,497.5,407.5,342,302,281.5,232,185.5,158,146.5,117,89,68,41,28.5,26.5,16.5,12,11.5,6,3,13
"2002","悼措巩备","拌",381820,3405.5,3939.5,4092.5,4104,4232.5,4380.5,4445.5,4537,4595,4639.5,4568.5,4287,4070,4024.5,4117.5,4190,4433,4651,5063,6100,6891.5,7196,7544,7379.5,7466,7903,8012,8354.5,8556,8442.5,8582,8317,7732,7490.5,7079,6434,6257,6269,6023.5,6180,6491,6761,6736,6345.5,6140.5,5918,5915.5,5793.5,5055.5,5077.5,4603.5,4082.5,4355.5,4487,4671,4273.5,3783,3734,3821.5,4353,4378.5,3692.5,3446,3234.5,2916,2767,2615,2307,2021,1814,1582,1386,1325,1241.5,1116,977,849.5,763,723.5,699.5,584,523.5,458,377,327.5,277.5,223,188,148,129,98.5,72.5,51.5,38.5,28.5,14,10,6,8,7,12
"2002","吝尔备","拌",445526.5,4258.5,4918,5139,5176,5494.5,5727.5,5993,6216.5,6314.5,6453,6424,6026.5,5721.5,5699,5539.5,5307.5,5816.5,6077.5,6594,7423,8001.5,8276.5,8451.5,7897.5,7780.5,8026,8191,8611,9011,9100,9347,9230.5,8913,8876.5,8554,8050.5,8022.5,8157,7857.5,8023.5,8626,8831,8632,8023.5,7697.5,7460.5,7333,6944.5,6003.5,5878,5279,4564,4804.5,4887,4954,4535.5,3852.5,3750.5,3830.5,4256,4217,3481.5,3243.5,3091,2671,2436.5,2339.5,2108,1790,1587,1404.5,1347.5,1258,1154.5,1080,916,809.5,738.5,727,709,575,506.5,451,383,340,278,207,177.5,153.5,134.5,99,76.5,60,37.5,29.5,20,12.5,10.5,6,4,14.5
"2002","己合备","拌",447205.5,3977,4672,4889.5,4808.5,4969,5114.5,5227.5,5400.5,5428,5490.5,5497.5,5082,4697,4738.5,4705,4920,5315,5515,6025,7029,7826.5,8261.5,8534,8127,8072,8677.5,8783,9374.5,9838,9792.5,9805.5,9697.5,9248,8806,8209.5,7490,7335.5,7453,7138.5,7242,7808.5,8077.5,7879.5,7436.5,7277,6952,6959.5,6729,5913.5,5911,5401.5,4852,5143,5278.5,5538.5,5305.5,4593.5,4465.5,4659.5,5250,5261.5,4450.5,4158.5,3894.5,3576,3282,3148.5,2861.5,2369,2133,1891.5,1681.5,1624.5,1505.5,1369.5,1169,1015,920,918,888,746.5,606.5,525.5,455,401.5,348,284,244,196.5,162.5,136,102.5,81.5,51,32.5,22.5,13,11,4,5.5,14
"2002","碍合备","拌",356650,3190.5,3698.5,3851,3881.5,4034.5,4125,4152.5,4299.5,4355,4373,4333.5,4065.5,3822.5,3810.5,3782.5,3928.5,4177,4428,4895.5,5687,6292.5,6632.5,6843,6510.5,6529,6999,7184.5,7502.5,7915,8016,8020.5,7659,7164.5,6872.5,6502.5,5890.5,5786.5,5778.5,5632.5,5800,5995,6286.5,6306,5860,5645.5,5562.5,5532,5391,4728.5,4732,4376,3931.5,4335,4485,4647,4343,3769.5,3740,3864.5,4407,4447,3693.5,3329.5,3133,2800,2532,2299.5,2100.5,1778,1519,1351,1183.5,1158.5,1055,952,812,700.5,663.5,666.5,668,585.5,492,415.5,357.5,300.5,285.5,220.5,160,131,113,104.5,85,51,39.5,38.5,20.5,16.5,12.5,5.5,6,6.5
"2002","档豪备","拌",371585,3630,4327.5,4542.5,4436,4798,4953,5100,5227.5,5233.5,5498,5592,5394,5156.5,5209,5335,5242.5,5403,5466,5827,6197.5,6379.5,6359.5,6236,5734,5430.5,5668.5,5816,6273.5,6643.5,7010,7376.5,7493.5,7320,7163.5,6991,6471,6454,6634,6636,6831,7367.5,7784.5,7725.5,7272,7185,6838,6616.5,6203,5229.5,5022.5,4393.5,3705.5,3875,3899.5,3967,3607.5,3029.5,2926.5,2997.5,3297.5,3304.5,2850.5,2678,2527.5,2255,2106,2022.5,1834,1629.5,1503.5,1337.5,1185,1140.5,1112.5,985,855.5,722,670,659,623,513.5,421.5,392,330.5,284,266,193.5,162.5,139.5,119,102.5,71.5,48.5,37.5,23.5,13.5,10,5.5,3.5,1.5,11.5
